,jurisdiction,case_id,hash_name,entry_date,resolution,total_decisions
10512,nysd,1-16-cv-03476-CM,b'd18ce1952c7e3f3df1b183b3',06/02/2016,1,495
10513,nysd,1-16-cv-09942-CM,b'd18ce1952c7e3f3df1b183b3',01/04/2017,-1,495
10514,nysd,1-16-cv-01006-RJS,b'bd9de3ca949c32d4c741463b',11/09/2016,-1,23
10515,nysd,1-16-cv-09952-CM,b'd18ce1952c7e3f3df1b183b3',01/25/2017,-1,495
10516,nysd,1-16-cv-06338-CM,b'd18ce1952c7e3f3df1b183b3',10/04/2016,1,495
10517,nysd,1-16-cv-03841-LAP,b'0cd78a3eb05b0d5393c72df7',07/25/2016,1,255
10518,nysd,1-16-cv-04067-VM,b'af1313981a0ad5903f925278',06/03/2016,1,11
10519,nysd,1-16-cv-09231-CM,b'd18ce1952c7e3f3df1b183b3',12/13/2016,1,495
10520,nysd,1-16-cv-09349-CM,b'd18ce1952c7e3f3df1b183b3',12/16/2016,-1,495
10521,nysd,1-16-cv-01544-LAP,b'0cd78a3eb05b0d5393c72df7',03/30/2016,-1,255
10522,nysd,1-16-cv-01610-CM,b'd18ce1952c7e3f3df1b183b3',03/04/2016,-1,495
10523,nysd,1-16-cv-04036-CM,b'd18ce1952c7e3f3df1b183b3',06/02/2016,-999,495
10524,nysd,1-16-cv-02710-LAP,b'0cd78a3eb05b0d5393c72df7',04/15/2016,1,255
10525,nysd,7-16-cv-05112-NSR,b'9120b54ba8315783fe2820b9',07/05/2016,1,32
10526,nysd,1-16-cv-01150-LAP,b'0cd78a3eb05b0d5393c72df7',03/08/2016,-1,255
10527,nysd,1-16-cv-09815-CM,b'd18ce1952c7e3f3df1b183b3',01/11/2017,-1,495
10528,nysd,1-16-cv-00202-LAP,b'0cd78a3eb05b0d5393c72df7',01/19/2016,-1,255
10529,nysd,1-16-cv-00203-LAP,b'0cd78a3eb05b0d5393c72df7',01/15/2016,-1,255
10530,nysd,1-16-cv-06880-CM,b'd18ce1952c7e3f3df1b183b3',10/03/2016,1,495
10531,nysd,1-16-cv-02865-KPF,b'aec0c964c64e05a2c62df32c',05/12/2016,1,22
10532,nysd,1-16-cv-08749-CM,b'd18ce1952c7e3f3df1b183b3',01/23/2017,-1,495
10533,nysd,7-16-cv-09783-NSR-JCM,b'9120b54ba8315783fe2820b9',12/21/2016,1,32
